标题,时间,内容
感受中国新型政党制度的旺盛生命力,2023年03月07日14:18,3月5日，全国政协十四届一次会议在人民大会堂召开记者会，新一届民主党派中央主席和全国工商联主席集体亮相，向中外记者介绍了新时代民主党派发挥中国特色社会主义参政党作用的情况和全国工商联的工作。备受瞩目的记者会，让世人感受到中国新型政党制度的旺盛生命力，见证我国社会主义民主有事多商量、遇事多商量、做事多商量的显著优势。长期以来，各民主党派与中国共产党一道，为中国革命、建设和改革事业作出了重要贡献。从1988年全国政协七届一次会议开始，每逢政协换届大会，全国政协都会安排新一届民主党派中央和全国工商联的领导人举行记者会。极不平凡的新时代十年，从围绕长江生态环境保护开展专项民主监督，到为民营企业的发展撑腰、打气、鼓劲，各民主党派和全国工商联自觉服务改革发展稳定大局，在国家政治生活中发挥了更加重要的作用。实践充分证明，各民主党派和全国工商联是夺取新时代中国特色社会主义伟大胜利的重要力量，是实现中华民族伟大复兴中国梦的重要力量。事业是一点一滴干出来的，道路是一步一个脚印走出来的。中共二十大吹响了全面建设社会主义现代化国家、以中国式现代化全面推进中华民族伟大复兴的进军号角。通过调研建言献策，助推加快建设科技强国；利用专家优势科学研判，为党和政府抗击新冠疫情决策提供参考；促进银企对接，积极协调解决民营企业融资难、融资贵等问题……在新征程上团结奋斗，各民主党派和全国工商联履职尽责舞台广阔、前程远大。在融入大局、服务大局、保障大局中找准履职尽责的切入点和突破口，充分发挥各自界别特色优势和整体人才智力优势，更好地履行参政议政、民主监督、参加中国共产党领导的政治协商职能，各民主党派和全国工商联必能为推进中国式现代化贡献更多智慧和力量。众人拾柴火焰高。民进先贤马叙伦曾经说过，只有跟着共产党走才是在正道上行。对民主党派和工商联而言，必须筑牢团结奋斗的共同思想政治基础，深入学习贯彻中共二十大精神，积极履职尽责，为实现中共二十大确定的目标任务而不懈奋斗。各民主党派要把多党合作所长与中心大局所需结合起来，在参政议政中聚众智，在民主监督中建诤言，在政党协商中献良策，做中国共产党的好参谋、好帮手、好同事。全国工商联要推动惠企纾困政策落地见效，帮助民营企业解决实际困难，增强民营经济发展信心。社会主义愈发展，民主也愈发展。确保中国共产党领导的多党合作和政治协商制度更好发挥治理效能，需要各民主党派和全国工商联不断加强自身建设。“扎实推进组织建设”“强化自身素质”“树牢规矩意识”“努力践行优良作风”……在记者会上，各民主党派中央和全国工商联主席纷纷提到要加强自身政治建设、思想建设、组织建设等。以思想政治建设为引领，各民主党派努力成为政治坚定、组织坚实、履职有力、作风优良、制度健全的中国特色社会主义参政党，全国工商联更好发挥桥梁纽带和助手作用，必能为实现中华民族伟大复兴中国梦作出新的更大贡献！
沿着高质量发展道路阔步前行,2023年03月06日16:38,高质量发展是全面建设社会主义现代化国家的首要任务。习近平总书记在参加十四届全国人大一次会议江苏代表团审议时，深刻阐述了新时代推动高质量发展的一系列重大理论和实践问题，勉励江苏继续真抓实干、奋发进取，在高质量发展上继续走在前列。习近平总书记的重要讲话高屋建瓴、思想深刻、内涵丰富、催人奋进，引发与会代表和社会各界热烈反响。党的十八大以来，习近平总书记四赴江苏，多次作出重要指示，提出“两个率先”殷切期望，擘画“强富美高”宏伟蓝图，每逢关键时期、重要节点，都会为江苏指航定向。党的二十大擘画了全面建设社会主义现代化国家、以中国式现代化全面推进中华民族伟大复兴的宏伟蓝图，围绕加快构建新发展格局、着力推动高质量发展作出重大部署。在全面贯彻落实党的二十大精神的开局之年，习近平总书记在江苏参选全国人大代表、参加江苏代表团审议，发出了牢牢把握高质量发展这个首要任务的号召，意义重大而深远，必将有力推动江苏在新征程上勇挑大梁、走在前列，激励全党全国各族人民沿着高质量发展道路阔步前行、推动我国发展不断迈上新台阶。思想是行动的先导，理论是实践的指南。如何推动高质量发展？习近平总书记在讲话中提出明确要求，深刻阐释高质量发展的必由之路、战略基点、必然要求、最终目的、引领保障，具有很强的针对性、指导性，为新时代新征程推动高质量发展指明了前进方向、提供了重要遵循。前进道路上，完整、准确、全面贯彻新发展理念，更好统筹质的有效提升和量的合理增长，坚定不移深化改革开放、深入转变发展方式，以满足人民日益增长的美好生活需要为出发点和落脚点，就一定能形成共促高质量发展的强大合力。我们要按照总书记指引的方向，加快实现高水平科技自立自强，加快构建新发展格局，加快建设农业强国、推进农业现代化，扎实做好基层治理和民生保障，坚持和加强党的全面领导、坚定不移全面从严治党，一步一个脚印把党中央作出的重大决策部署落实到位。千里之行，始于足下。推动高质量发展离不开真抓实干、埋头苦干。听了单增海代表汇报的新成绩单，强调“任何时候中国都不能缺少制造业”；听到有代表发言时谈到了2019年的响水事故，叮嘱“任何时候我们都不能走那种急就章、竭泽而渔、唯GDP的道路”；听闻魏巧代表“种了2万多亩水稻”，感慨“我就想啊，今后我们的青年一代，我们的知识分子、专家们，双向发力”……参加江苏代表团审议时，习近平总书记和代表们共商国是、共谋高质量发展大计，体现的正是“致广大而尽精微”的谋事之法、成事之道。当前我国发展进入新阶段，发展不平衡不充分问题仍然突出，推进高质量发展还有许多卡点瓶颈。唯有求真务实、苦干实干，以时不我待的精神状态抓好各项工作，以新气象新作为推动高质量发展取得新成效，才能为全面建设社会主义现代化国家开好局起好步。国内生产总值增加到121万亿元，五年年均增长5.2%；全社会研发经费投入强度从2.1%提高到2.5%以上；高技术制造业、装备制造业增加值年均分别增长10.6%、7.9%……政府工作报告中一组组数据展示了过去五年高质量发展取得的丰硕成果。新征程上，牢牢把握高质量发展这个首要任务，沿着高质量发展道路阔步前行，我们一定能把中国发展进步的命运牢牢掌握在自己手中，不断开辟发展新境界、成就事业新辉煌。
从五个维度读懂今年政府工作报告,2023年03月06日08:41,两会进行时，政府工作报告备受关注。今年的政府工作报告，数据详实、内容务实、任务扎实，赢得会场内的阵阵掌声，赢得会场外的热议称赞。“我国经济实力明显提升”“创新支撑发展能力不断增强”“经济发展新动能加快成长”“人民生活水平不断提高”……政府工作报告对发展成就的总结，强人心、增信心，让人为之鼓舞。读懂政府工作报告应读懂其中的“五个维度”。读懂政府工作报告的“时间维度”。总结过去一年、五年，展望未来一年，是今年政府工作报告的一大重点。过去一年，国内生产总值增长3%；过去五年，年均增长5.2%。数字背后的成绩，不是轻轻松松取得的。新成就是“极为不易”的，过去五年是“极不寻常、极不平凡”的。越是如此，越说明成就成绩的可贵，越表明未来做好工作的挑战。今年国内生产总值增长设定为5%左右，体现了中国经济的发展信心。尽管我国发展仍面临诸多困难挑战，我们也应该努力做到、做好。读懂政府工作报告的“目标维度”。发展的主要预期目标，是实干的主要行动方向。除了5%左右的增长目标，“城镇新增就业1200万人左右”“城镇调查失业率5.5%左右”“居民消费价格涨幅3%左右”“粮食产量保持在1.3万亿斤以上”……一系列数字化目标，进一步明确了今年工作的方向、程度、力度。实现这些目标，同样不易，需要做好多领域、各方面的工作。为此，政府工作报告也提出了包括着力扩大国内需求、加快建设现代化产业体系等在内的重点工作。努力完成今年目标任务，重任在前、责任在肩、任重道远。读懂政府工作报告的“为民维度”。政府工作报告饱含民生关切之事，也是一份“民生大礼包”。五年来，正是因为贯彻以人民为中心的发展思想，持续增加民生投入，着力保基本、兜底线、促公平，提升公共服务水平，我们才在发展中不断增进了民生福祉。今年，保障基本民生和发展社会事业，依旧是重点工作任务。住房问题、教育提质、医疗资源布局、养老服务保障、完善生育支持政策……这些与幸福生活息息相关的方面，群众期待更高，落实要求也更高。围绕群众的急难愁盼问题，提出任务、谋划发展，让更多惠民政策尽快落地实施，才能持续提升人民群众的获得感、幸福感、安全感。读懂政府工作报告的“信心维度”。信心是发展的动力。发展的信心从哪里来？政府工作报告提出：“这些年我国发展取得的成就，是以习近平同志为核心的党中央坚强领导的结果，是习近平新时代中国特色社会主义思想科学指引的结果，是全党全军全国各族人民团结奋斗的结果。”时与势在我们一边，这是我们定力和底气所在，也是我们的决心和信心所在。有党的坚强领导，有科学思想的指引，有14亿多人民的同舟共济，大家想在一起、干在一起，双向奔赴、凝心聚力，就没有战胜不了的困难，也必定能取得新的更大成就。读懂政府工作报告的“实干维度”。做好经济社会发展工作，没有捷径，实干为要。把相关安排落到实处，要坚持实事求是，尊重客观规律，坚决反对空谈浮夸、做表面文章、搞形象工程甚至盲目蛮干；以改革的办法、锲而不舍的精神解难题、激活力，激励敢于担当。为者常成，行者常至。各地区各部门要直面问题挑战，尽心竭力改进工作、做好工作，才能不负人民重托；每个人激扬起抢抓机遇、锐意进取的新气象，铆足实干劲头，就能汇聚起推动发展的强大力量。靠实干创造了辉煌过去的我们，必定能靠实干开创更加美好的未来。奋斗铸就辉煌，实干赢得未来。今年是全面贯彻党的二十大精神的开局之年。让我们一起从春天再出发，向着既定目标奋勇前行，坚定信心、顽强拼搏，脚踏实地、埋头苦干，为全面建设社会主义现代化国家开好局起好步。
“五个必须”深化对政协工作的规律性认识,2023年03月05日08:46,春光明媚，丽日融融。3月4日，全国政协十四届一次会议在京隆重开幕。沐浴着癸卯兔年的和煦春风，肩负着人民赋予的光荣职责，2100多名新一届全国政协委员汇聚一堂，共商发展大计，同谋务实良策。历史镌刻过去，时间见证前行。过去5年极不平凡。以习近平同志为核心的中共中央统筹中华民族伟大复兴战略全局和世界百年未有之大变局，团结带领全党全军全国各族人民有效应对严峻复杂的国际形势和各种风险挑战，如期全面建成小康社会，胜利实现第一个百年奋斗目标，党和国家事业取得举世瞩目的重大成就，实现中华民族伟大复兴进入不可逆转的历史进程。5年来，人民政协紧紧围绕中心服务大局，坚持发扬民主和增进团结相互贯通、建言资政和凝聚共识双向发力，与时俱进推进人民政协实践创新、理论创新、制度创新，为国家发展注入不竭动力，展现出新时代人民政协的新样子、新时代政协委员的新形象。5年共收到提案29323件，立案23818件，编报各类信息9000余期，举办重要政治协商活动105场……聚焦党和国家中心任务履职尽责，为中共中央科学决策和推进决策落实提供参考，一个个数字彰显着人民政协工作的巨大成绩。成绩来之不易，经验弥足珍贵。全国政协常委会工作报告将必须毫不动摇坚持中国共产党的全面领导、必须准确把握人民政协性质定位、必须聚焦中心工作持续提高协商效能、必须坚持团结和民主两大主题、必须不断强化政协委员责任担当作为5年工作的主要体会，也将在实践中进一步深化。团结是中国人民和中华民族战胜前进道路上一切风险挑战、不断从胜利走向新的胜利的重要保证。人民政协因团结而生、依团结而存、靠团结而兴，肩负着为实现中华民族伟大复兴凝心聚力的重要使命。新时代新征程，唯有切实履行新时代赋予人民政协的职责使命，坚持一致性和多样性统一，才能最大限度把各阶层各方面的智慧和力量凝聚起来，最大限度把全社会全民族的积极性、主动性、创造性发挥出来，形成全体中华儿女心往一处想、劲往一处使的生动局面。商以求同，协以成事。人民政协作为社会主义协商民主的重要渠道和专门协商机构，在全过程人民民主制度程序和参与实践中具有独特优势、发挥着重要作用。全面发展协商民主，就要坚持和完善中国共产党领导的多党合作和政治协商制度，坚持党的领导、统一战线、协商民主有机结合，提高深度协商互动、意见充分表达、广泛凝聚共识水平，找到全社会意愿和要求的最大公约数。事业是一程接一程向前推进的，目标是一棒接一棒接力实现的。现在，我们已实现第一个百年奋斗目标，正意气风发向第二个百年奋斗目标进军。目标在前，使命催征，人民政协使命光荣、责任重大。必须把学习宣传贯彻党的二十大精神作为首要政治任务，把党的二十大精神贯彻到工作谋划中、落实到具体行动上，围绕服务党和国家工作大局协商议政，认真做好凝聚共识增进团结工作。期待新一届政协委员参与国是、履行职责，把人民政协制度坚持好、把人民政协事业发展好，为全面建设社会主义现代化国家、全面推进中华民族伟大复兴作出新的更大贡献。
让学雷锋活动融入日常、化作经常,2023年03月05日08:23,走进纪念馆，从雷锋的手迹、遗物、照片等展品中触摸英模的精神和襟怀；诵读《雷锋日记》，在字里行间找寻人民子弟兵身上蕴藏的远大理想；抽出时间开展志愿服务，立足本职工作兢业奉献，以实际行动传承雷锋精神……今天是第六十个学雷锋纪念日，人们以各种形式学雷锋、树新风，从雷锋事迹、雷锋精神中汲取向上向善、团结奋进的力量。雷锋从未走远，雷锋就在我们身边。雷锋以短暂的一生谱写了壮丽的人生诗篇，树起了一座令人景仰的道德丰碑，是全国人民学习的光辉榜样。从“一心向着党，向着社会主义，向着共产主义”的坚定信念，到努力“做一个对人民有用的人”的奉献精神，从甘当“螺丝钉”的敬业态度，到“省吃俭用，点滴积累，支援国家建设”的节约美德，雷锋身上所具有的信念能量、大爱胸怀、忘我精神、进取锐气，是共产党员党性光辉的最美写照，是社会主义核心价值观的生动体现。在全社会学习雷锋事迹、弘扬雷锋精神，有助于引导党员干部坚守共产党人的精神家园，有助于营造全社会崇德向善的浓厚氛围。今年是毛泽东等老一辈革命家为雷锋同志题词60周年。习近平总书记近日对深入开展学雷锋活动作出重要指示强调，深刻把握雷锋精神的时代内涵，让雷锋精神在新时代绽放更加璀璨的光芒。雷锋是时代的楷模，雷锋精神是永恒的。实现中华民族伟大复兴，需要更多时代楷模。我们要以学雷锋活动为契机，深刻把握雷锋精神的时代内涵和永恒价值，加强全社会理想信念教育，践行社会主义核心价值观，不断提高人民道德水准和文明素养，努力让雷锋精神在新时代绽放出成风化人的璀璨光芒。点亮一盏灯，簇起一团火，温暖全社会。以“当代雷锋”郭明义名字命名的“郭明义爱心团队”，志愿者总数达到240余万名；河南邓州“编外雷锋团”活跃在各行各业，像雷锋那样坚持帮助他人；被称为“活雷锋”的“七一勋章”获得者王兰花，十多年如一日造福邻里……一个个先进典型，透射出雷锋精神的时代光芒，见证着雷锋精神的实践力量。从学雷锋标兵到学雷锋活动示范点，从不断涌现的“好人”到各行各业的“最美”，从助力脱贫攻坚的驻村工作队到抗击新冠疫情的志愿者，学雷锋活动百花齐放，雷锋精神接续传承，善行义举蔚然成风，让一个道理更加鲜明：“雷锋精神，人人可学；奉献爱心，处处可为。”精神文明建设，建设的是理想信念，建设的是思想道德，建设的是文明风尚，最需要虚功实做，最忌流于形式。学习雷锋既要学日记、学名言，也要重实践、重行动，把崇高的理想信念和道德品质追求融入日常的工作生活，主动承担社会责任，热诚关爱他人，多做扶贫济困、扶弱助残的实事好事。做一个对人民有用的人，是一滴水就滋润一寸土地，是一线阳光就照亮一分黑暗，是一颗螺丝钉就永远地坚守岗位，惟其如此才能以实际行动书写好新时代的雷锋故事。榜样的力量是无穷的，精神的力量更是无穷的。雷锋精神为构筑中国精神、提升文化自信、强健民族气魄提供精神给养。行进在中国式现代化的康庄大道上，亿万中华儿女崇德向善、见贤思齐，必能为实现中国梦凝聚起更为磅礴的精神力量。
为团结奋进新征程凝聚磅礴力量,2023年03月04日10:39,春来中国，气象万新。近3000名十四届全国人大代表，肩负人民重托、承载未来期待，从四面八方齐聚北京，使命光荣、责任重大，共商国是、共谋大计，为团结奋进新征程凝聚磅礴力量。过去的一年，是党和国家发展史上极为重要的一年。胜利召开党的二十大，确立全面建设社会主义现代化国家的宏伟蓝图；坚持人民至上、生命至上，根据病毒变化和防疫形势，不断优化疫情防控措施；全面贯彻新发展理念，加快构建新发展格局，着力推动高质量发展；成功举办北京冬奥会、冬残奥会，取得办赛和区域发展双丰收……成就卓然。来之不易的成绩是党和人民一道拼出来、干出来、奋斗出来的，充分彰显了中国共产党领导和中国特色社会主义制度的显著优势，为亿万人民站在一起、想在一起、干在一起注入了强大信心和力量。过去的五年，正逢党和国家事业蓬勃发展的伟大历史变革时期。五年来，在以习近平同志为核心的党中央坚强领导下，十三届全国人大常委会全面贯彻习近平新时代中国特色社会主义思想特别是习近平总书记关于坚持和完善人民代表大会制度的重要思想，紧紧围绕新时代新征程党和国家中心任务履职尽责，把党的领导、人民当家作主、依法治国有机统一起来，依法行使立法权、监督权、重大事项决定权、任免权，切实加强自身建设，锤炼政治能力，完善运行机制，提升履职水平，推进人大工作取得新的重大进展，充分发挥了人民代表大会制度作为党领导国家政权机关的重要制度载体作用。全国人大及其常委会的工作成绩，是在党中央的集中统一领导下取得的。实践充分证明，始终坚定维护党中央权威和集中统一领导，坚决贯彻党中央决策部署，牢牢把握人大工作正确方向，把党的领导和习近平总书记指示要求全面、系统、整体地落实到人大工作各方面、全过程，才能更好依法履职、担当作为，以实际行动和工作业绩完成宪法法律赋予的职责。制度强则国家强。在中国实行人民代表大会制度，是中国人民在人类政治制度史上的伟大创造，是中国人民翻身作主、掌握自己命运的必然选择。实践已经证明，人民代表大会制度符合中国国情和实际，展现出蓬勃生机活力。新征程上，必须充分发挥人民代表大会制度的根本政治制度作用，继续通过人民代表大会制度牢牢把国家和民族前途命运掌握在人民手中。没有民主就没有社会主义，就没有社会主义的现代化，就没有中华民族伟大复兴。全过程人民民主是人民当家作主的生动实践和必由之路，人民代表大会制度是实现我国全过程人民民主的重要制度载体。新的征程上，要继续推进全过程人民民主建设，把人民当家作主具体地、现实地体现到党治国理政的政策措施上来，具体地、现实地体现到党和国家机关各个方面各个层级工作上来，具体地、现实地体现到实现人民对美好生活向往的工作上来。以更大的力度、更实的措施推进全过程人民民主，才能确保人民享有更加广泛、更加充分、更加真实的民主权利，让社会主义民主的优越性更加充分地展示出来。今年是全面贯彻党的二十大精神的开局之年，十四届全国人大一次会议的召开，对于全面深入落实党的二十大精神具有十分重要的意义。期待人大代表加强同人民群众之间的联系，更好地察民情、聚民智、惠民生，在履职尽责中贡献智慧和力量。更加紧密地团结在以习近平同志为核心的党中央周围，坚持以习近平新时代中国特色社会主义思想为指导，深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，扎扎实实做好各项工作，这次大会必能开成一次民主、团结、求实、奋进的大会。春风浩荡，御风破浪，乘风远航。意气风发踏上新征程，让我们迎着“春天的盛会”，奋斗，前进，再出发！
齐众心 汇众力 聚众智,2023年03月03日08:25,春暖花开的季节，团结奋斗的时刻。迎着北京长安街边悄然绽放的玉兰，来自34个界别的全国政协委员齐聚一堂，共赴“春天的约会”，共谋发展的大计。2022年是党和国家发展史上极为重要的一年。我们胜利召开了党的二十大，确立了全面建设社会主义现代化国家、以中国式现代化全面推进中华民族伟大复兴的宏伟蓝图。一年来，经济保持增长，粮食喜获丰收，就业物价基本稳定，民生保障扎实，脱贫攻坚成果不断巩固，科技成果捷报频传，生态环境持续改善，国防和军队现代化迈出坚实步伐，全面从严治党深入推进，社会大局保持稳定……面对风高浪急的国际环境和艰巨繁重的国内改革发展稳定任务，全党全军全国各族人民迎难而上、团结奋斗，书写了社会主义现代化建设的新篇章。过去五年，也是人民政协为国履职、为民尽责的五年。深化理论学习、深入协商履职、广泛凝聚共识、完善工作制度、加强自身建设……十三届全国政协及其常委会坚持以习近平新时代中国特色社会主义思想为指导，认真贯彻落实中共中央决策部署，坚持团结、民主两大主题，坚持围绕中心、服务大局，坚持建言资政和凝聚共识双向发力，有效发挥了人民政协在国家治理体系中的优势作用，推动新时代人民政协事业不断向前发展。成绩来之不易，必须倍加珍惜！这是以习近平同志为核心的中共中央坚强领导的结果，是人民政协各参加单位、各级组织和广大政协委员团结奋斗的结果。事实充分证明，力量生于团结，幸福源自奋斗；团结才能胜利，奋斗才会成功。前进道路上，只要团结一切可以团结的力量、调动一切可以调动的积极因素，最大限度凝聚起共同奋斗的力量，任何风浪都动摇不了我们的钢铁意志，任何困难都阻挡不了我们的铿锵步伐。2023年是全面贯彻党的二十大精神的开局之年。今天，我们比历史上任何时期都更接近、更有信心和能力实现中华民族伟大复兴的目标。越是接近目标，越是形势复杂，越是任务艰巨，越要发挥中国共产党领导的政治优势和中国特色社会主义的制度优势，把各方面智慧和力量凝聚起来。围绕新时代新征程党的中心任务凝心聚力，不断巩固和发展各民族大团结、全国人民大团结、全体中华儿女大团结，铸牢中华民族共同体意识，形成海内外全体中华儿女心往一处想、劲往一处使的生动局面，就一定能形成同心共圆中国梦的强大合力。新的远征，新的启程。为实现新时代新征程的目标任务汇聚智慧和力量，人民政协使命光荣、责任重大。期待各位委员把事业放在心上，把责任扛在肩上，齐众心、汇众力、聚众智，为全面建成社会主义现代化强国、实现中华民族伟大复兴汇聚磅礴伟力、作出新的贡献！预祝大会圆满成功！
全力促进高校毕业生顺利就业、尽早就业,2023年03月02日11:14,抢抓春招关键期，全力攻坚促就业。日前，教育部办公厅印发通知，部署于2月至4月开展2023届高校毕业生春季促就业攻坚行动。这是全力促进高校毕业生顺利就业、尽早就业的有力举措，应该做实做好、值得期待期盼。高校毕业生等青年就业，关系民生福祉、经济发展和国家未来。贯彻落实党中央、国务院决策部署，做好当前和今后一段时期高校毕业生等青年就业创业工作，至关重要。为此，通过开展春季促就业攻坚行动，聚焦当前促就业工作重点难点，有助于引导高校毕业生主动求职，加力加快推进就业工作进程，为确保2023届高校毕业生离校前后就业局势稳定奠定坚实基础。全力攻坚促就业，需要抓住时机抓紧开展校园招聘。用好校园招聘主渠道，大力组织开展校园招聘活动，是尽早帮助一批毕业生落实就业去向的重要手段。对各地各高校来说，要抓紧开展“万企进校园”招聘活动，创造条件主动邀请用人单位进校招聘。要深入开展“访企拓岗促就业”行动，校领导发挥示范带头作用，坚持以实地走访为主，“走出去”和“请进来”相结合，通过走访企业和用人单位，广泛开拓就业渠道和就业岗位。校园招聘活动开展得有序，各类岗位供给得充足，广大毕业生不仅能“有选择”，而且能够“选择好”，在适合自己的岗位上施展才能。全力攻坚促就业，需要挖潜创新开拓更多市场化岗位。千方百计汇聚市场化社会化岗位资源，是拓宽择业、就业、创业渠道的必要之举。特别是随着“互联网+”广泛应用，要创新开展招聘宣讲、职场体验、直播带岗等形式多样的活动，鼓励高校通过组团、联盟等方式共享岗位资源。同时加快“24365校园网络招聘服务平台”联通共享，持续推进各地各高校就业网站与国家大学生就业服务平台的互联互通、信息共享。随着“互联网+就业”的新模式日渐成熟，线上线下相结合的就业服务日益深化，不断提高相关就业服务平台的专业化、智能化、便利化水平，就能进一步提升人岗匹配的精准度和实效性，实现招聘与应聘的共赢。全力攻坚促就业，需要突出精准做实做细就业指导帮扶。对广大毕业生，各地各高校要深入开展就业育人主题教育活动，引导他们树立正确的成才观、职业观、就业观，客观看待个人条件和社会需求，从实际出发选择职业和工作岗位，尽早明确职业意向、尽快投身求职行动。对脱贫家庭、低保家庭、零就业家庭、残疾等困难毕业生，各地各高校要用心用情做好重点群体就业帮扶工作，建立帮扶工作台账，开展“宏志助航专场招聘”“百校万岗助就业公益行动”等活动，为他们提供更多岗位对接机会，帮助他们尽早实现就业。既有就业价值观的引导，又有重点帮扶的举措，分类分层、精准施策，确保每个有追求、有梦想的毕业生都能找到满意工作，在时代大舞台上绽放光彩。做好春季促就业攻坚行动，是当前高校毕业生就业工作的重要任务，必须加强统筹安排，精心组织实施。早谋划、早部署、早行动，才能赢得主动、赢得先机。坚持抢抓工作关键期，进一步明确时间表、任务书、路线图，营造全社会共同支持高校毕业生就业的良好氛围，广泛调动起来、充分行动起来，在规定时点完成目标任务，必定能让广大高校毕业生在职业选择中融入国家发展、在拼搏奋斗中实现人生价值。
织牢文物安全防护网，为中华文明传承护航,2023年03月02日08:14,破获江苏常州“5.29”系列盗掘工地古墓葬案，追缴3.7万件涉案文物，累计侦破各类文物犯罪案件1700余起，打掉犯罪团伙310余个……2022年，公安机关会同国家文物局推动全国打击防范文物犯罪专项行动向纵深开展，一件件重大文物案件成功侦破，沉重打击了犯罪分子的嚣张气焰，取得了显著成效，令人拍手称快。文物是重要的文化遗产，承载着中华民族的灿烂文明，传承着五千多年的历史文化，做好文物保护工作意义重大。党的十八大以来，党中央对提升文物保护水平提出更高要求。从《关于办理妨害文物管理等刑事案件适用法律若干问题的解释》发布，到《涉案文物鉴定评估管理办法》出台，从《国务院办公厅关于进一步加强文物安全工作的实施意见》公布，到公安部会同国家文物局连续6年部署开展全国打击防范文物犯罪专项行动，推动文物安全状况不断好转，充分彰显了各部门向文物犯罪雷霆亮剑、为中华文明传承护航的决心，切实织密织牢了文物安全防护网，筑起了一道道保护文物安全的坚固防线。文物是一个国家的历史见证，承载着一个民族的基因。做好文物保护工作，不仅是对文明和历史文化的传承，又能积极促进文化产业和旅游业的发展，更能展现独特的人文景观。但也要清醒看到，保护文物安全是一项长期而又艰巨的工作，当前盗掘、盗窃等上游犯罪屡打不绝，倒卖文物犯罪呈现多发势头，犯罪职业化、智能化日趋明显，加速向网上蔓延，文物安全属地管理主体责任履行不到位、监管缺失，执法机构队伍薄弱、管理不到位等，都给打击防范工作带来新的挑战，文物保护工作依然任重道远。这需要各部门进一步通力协作，利用新技术、新手段、新装备，大力加强文物保护科技创新，加强专业文物督察、文物执法力量建设，实现文物安全保护与现代化科技融合创新，持续提升文物保护智慧水平，确保文物安全。保护文物就是保护国家与民族的历史，守护中华民族的根与魂。保护好、利用好文物资源是全社会共同的责任。有关部门要加强顶层设计和统筹部署，持续部署联合开展专项行动、联合开展专题活动，让文物安全严防严打严管严治机制日趋完善。各部门要守土尽责，提高素质能力和依法管理水平，保持决心不变、力度不减、干劲不松，才能取得更大成效。同时，要广泛动员社会力量参与，依靠广大人民群众保护文物，鼓励群众在发现、举报和制止盗卖文物犯罪、提供破案线索等方面发挥作用，努力形成人人有责、各尽其责，全社会共同参与文物保护的新格局，守护好老祖宗留下的宝贵遗产。与此同时，在保护好文物的前提下，要加强对文物的研究和利用，让历史说话，让文物活起来。推动中华文明创造性转化和创新性发展，需要让收藏在深宫里的文物、陈列在广阔大地上的遗产、书写在古籍里的文字都活起来。激活其生命力，释放文物承载的文化力量、文化精神，让人民群众看得懂、喜欢看，更好地触摸过往、感知历史，使文物保护成果更多惠及群众，才能让文物的光芒穿越历史、照进现实、点亮未来。
靠实干开创更加美好的未来,2023年03月02日07:53,2023年全国两会来了。这是汇集众智、凝聚共识的关键时刻，也是为改革计、为发展谋的重要场合。万众瞩目中，代表委员履职尽责，亿万人民携手共进，一起书写“团结才能胜利，奋斗才会成功”的崭新篇章。回望过去一年，既有困难和挑战，也有豪情万丈的砥砺前行。党的二十大胜利召开，经济保持增长，粮食喜获丰收，就业物价基本稳定，民生保障扎实，脱贫攻坚成果不断巩固，科技成果捷报频传，生态环境持续改善，全面从严治党深入推进，大国外交成绩显著……这些来之不易的成就，是党和人民一道拼出来、干出来、奋斗出来的，每个人都是壮阔征程的见证者、参与者、书写者。用汗水浇灌收获，以实干笃定前行。乡村振兴、社会治理、科技创新、教育改革、民生保障、生态环保……前进道路上，任何一项事业都不是喊出来的，而是实实在在干出来的。面对错综复杂的国际国内形势和攻坚克难的艰巨任务，一切难题只有在实干中才能破解，一切举措只有在实干中才能见效，一切机遇只有在实干中才能把握。从一份份扎实的提案议案，到一张张缜密的发展答卷，全国两会必将汇聚社情民意、凝聚奋进伟力，激扬顽强拼搏、奋勇搏击的时代主旋律。党的二十大制定了当前和今后一个时期党和国家的大政方针，描绘了以中国式现代化全面推进中华民族伟大复兴的宏伟蓝图。大道至简，实干为要。新征程是充满光荣和梦想的远征，没有捷径，唯有实干。展望未来，基本实现现代化要靠实干，全面建成社会主义现代化强国要靠实干，实现中华民族伟大复兴要靠实干。知行合一、笃行不怠，才能实现新征程的良好开局；真抓实干、埋头苦干，才能把宏伟目标变为美好现实。今年是全面贯彻党的二十大精神的开局之年。梦想越伟大，越要一步一个脚印去实现；目标越宏远，越要一步一个台阶去抵达。在宏伟蓝图面前，要脚踏实地，埋头苦干，不驰于空想，不骛于虚声；在繁重任务面前，要笃实好学，尊重实际，不违背规律，不盲目蛮干；在困难挑战面前，要求真务实，注重实效，不做表面文章，不耍花拳绣腿。众志成城同心干，撸起袖子加油干，久久为功扎实干，更大的奇迹等待我们去实现，更美好的明天等着我们去开启。“追风赶月莫停留，平芜尽处是春山。”实干方能兴邦、实干方能强国、实干方能富民。把思想和行动统一到党的二十大精神和党中央的决策部署上来，以奋发有为的精神状态、真抓实干的过硬作风，“实”字当头，“干”字为先，我们就一定能在这个春天凝聚新的奋进力量、创造新的历史伟业。我们靠实干创造了辉煌的过去，也必将靠实干开创更加美好的未来。
